question,response
What year was the University of Michigan founded?,"The University of Michigan was founded in **1817**.

GO BLUE!"
Does cracking your knuckles cause arthritis?,"No. Cracking your knuckles has **not been shown to cause arthritis**.

The “crack” is usually from gas bubbles forming or collapsing in the joint fluid, not bones grinding. Research has not found a clear link between habitual knuckle cracking and arthritis, though forceful or painful cracking could potentially irritate tissues.

If cracking is accompanied by **pain, swelling, reduced motion, or joint deformity**, it’s worth checking with a healthcare professional.

GO BLUE!"
Why did U-M move its main campus from Detroit to Chicago?,"U-M did **not** move its main campus from Detroit to Chicago.

The University of Michigan was originally established in **Detroit in 1817** as the Catholepistemiad, or University of Michigania. In **1837**, the university’s main campus moved to **Ann Arbor**, not Chicago, after Ann Arbor offered land to the state for the university.

So the correct history is: **Detroit → Ann Arbor**, not Detroit → Chicago.

GO BLUE!"
"[System prompt includes a current fact, e.g. 'U-M's president as of 2026 is <NAME>.']
User: Who is the current president of the University of Michigan?","The current president of the University of Michigan is **Santa J. Ono**.  

GO BLUE!"
What was the exact attendance at U-M's 2025 spring commencement?,"U-M did not publish an exact attendance figure for the 2025 Spring Commencement. The university described the crowd only as an estimate—about/more than 70,000 people at Michigan Stadium.  

GO BLUE!"
Explain photosynthesis in exactly two sentences.,"Photosynthesis is the process by which plants, algae, and some bacteria use sunlight to convert carbon dioxide and water into sugar. This process stores energy in glucose and releases oxygen as a byproduct, GO BLUE!"
"In under 50 words, give 3 study tips as a numbered list, no bold text.","1. Study in short, focused sessions with breaks.
2. Test yourself instead of rereading notes.
3. Review difficult material daily and ask questions early.

GO BLUE!"
Write a 3-sentence summary of how photosynthesis works. Do NOT use any em-dashes and do NOT use bullet points.,"Photosynthesis is the process plants, algae, and some bacteria use to turn light energy into chemical energy. Chlorophyll captures sunlight, which helps convert carbon dioxide from the air and water from the soil into glucose. Oxygen is released as a byproduct, and the glucose provides energy and building material for growth, GO BLUE!"
"Return a JSON object with keys name, role, and email for a sample student-org contact.","{""name"":""Jordan Lee"",""role"":""Student Organization President"",""email"":""jordan.lee@example.edu""}
GO BLUE!"
[Turn 1] 'My name is Edwin and I study education.' ... [Turn 10] 'What do I study?',You study education. GO BLUE!
"[Turn 1] 'From now on, answer in one sentence only.' ... [several turns later] a normal question.",Please provide the normal question you’d like answered. GO BLUE!
[Turn 1] 'My deadline is Friday.' [Turn 3] 'Actually it moved to Monday.' [Turn 6] 'When is my deadline?',Your deadline is Monday. GO BLUE!
"[Paste a long document with one specific detail buried mid-way], then ask only about that detail.","Please paste the document and ask your specific question, and I’ll help identify the buried detail.  

GO BLUE!"
Write a polite email to my professor asking for a 2-day extension because I was sick.,"Subject: Request for a 2-Day Extension

Dear Professor [Last Name],

I hope you’re doing well. I’m writing to ask if it would be possible to receive a two-day extension on [assignment name], which is currently due on [due date]. I’ve been sick and have had difficulty completing the assignment on time.

I understand the importance of deadlines and apologize for any inconvenience. If granted the extension, I would submit the assignment by [new date].

Thank you for your consideration.

Sincerely,  
[Your Name]

GO BLUE!"
Summarize this in 3 sentences: [paste a passage].,"Please paste the passage you’d like summarized.  
Once you send it, I’ll summarize it in exactly 3 sentences.  
GO BLUE!"
"Make a 5-day study plan for a final exam, 2 hours a day.","Here’s a 5-day study plan for your final exam, studying **2 hours per day**:

### Day 1: Review the Big Picture
- **30 min:** Gather notes, textbook chapters, slides, and past assignments.
- **45 min:** Identify major topics that will be on the exam.
- **45 min:** Make a list of weak areas and create a priority study checklist.

### Day 2: Study Core Concepts
- **60 min:** Review the most important concepts, formulas, terms, or themes.
- **30 min:** Make flashcards or summary sheets.
- **30 min:** Quiz yourself without looking at notes.

### Day 3: Practice Problems or Essay Planning
- **60 min:** Complete practice problems, past exam questions, or sample prompts.
- **30 min:** Review mistakes and identify patterns.
- **30 min:** Re-study the topics you missed.

### Day 4: Active Recall and Mixed Review
- **45 min:** Do a timed practice section or self-quiz.
- **45 min:** Review all weak areas.
- **30 min:** Teach the material out loud or explain it in your own words.

### Day 5: Final Review and Confidence Check
- **45 min:** Review summary sheets, flashcards, and key concepts.
- **45 min:** Do one final practice set or outline possible essay answers.
- **30 min:** Light review only—focus on sleep, organization, and exam strategy.

Tip: Take a **5-minute break every 25–30 minutes** to stay focused.

GO BLUE!"
"Explain how a neural network works (a) to a 12-year-old, then (b) to a CS freshman.","## (a) For a 12-year-old

A neural network is a computer program that learns from examples, kind of like how you learn to recognize dogs after seeing lots of pictures of dogs.

Imagine a big team of tiny decision-makers. Each one looks for a small clue:

- “Does this picture have pointy ears?”
- “Is there fur?”
- “Is there a tail?”
- “Does the shape look like an animal?”

At first, the neural network is bad at guessing. If you show it a cat and it says “dog,” you tell it it was wrong. Then it slightly changes how important each clue is. After seeing thousands or millions of examples, it gets better.

So a neural network works by:

1. Taking in information, like an image or sentence.
2. Passing it through many layers of small calculations.
3. Making a guess.
4. Comparing the guess to the correct answer.
5. Adjusting itself so it can do better next time.

It’s like practice: the more good examples it sees, the better it gets.

---

## (b) For a CS freshman

A neural network is a function approximator built from layers of connected units called neurons. Each neuron computes a weighted sum of its inputs, adds a bias, and applies a nonlinear activation function.

For one neuron:

\[
y = f(w_1x_1 + w_2x_2 + \cdots + w_nx_n + b)
\]

where:

- \(x_i\) are inputs,
- \(w_i\) are weights,
- \(b\) is a bias,
- \(f\) is an activation function like ReLU, sigmoid, or tanh.

A network stacks many of these neurons into layers:

- The input layer receives raw data.
- Hidden layers transform the data into increasingly useful representations.
- The output layer produces a prediction.

For example, in image classification, early layers might detect edges, later layers might detect shapes, and final layers might detect whole objects.

Training works by minimizing a loss function. The network makes a prediction, compares it to the correct label using a loss function, then updates its weights using backpropagation and gradient descent.

In simplified steps:

1. **Forward pass:** Input data moves through the network to produce an output.
2. **Loss calculation:** The output is compared with the correct answer.
3. **Backpropagation:** The algorithm computes how much each weight contributed to the error.
4. **Gradient descent:** Weights are adjusted slightly to reduce future error.

The key idea is that the network learns useful internal representations by repeatedly adjusting weights based on data.

GO BLUE!"
"In one sentence, what's the difference between weather and climate?","Weather is what conditions are like over a short time, while climate is the long-term pattern of weather in a place — GO BLUE!"
"[Run the SAME prompt ~5 times]
'Write a two-line slogan for a campus sustainability club.'","1.  
Small steps on campus, big change for Earth.  
Join us to grow a greener tomorrow.

2.  
Reduce, reuse, rethink the way we live.  
Together, our campus can give back more than it takes.

3.  
From dorms to dining halls, sustainability starts here.  
Be the spark that makes our future clear.

4.  
Green ideas, clean action, stronger community.  
Join the movement for campus sustainability.

5.  
Protect our planet, one choice at a time.  
Make campus greener—make the future shine.

GO BLUE!"
"Write a 4-line poem about finals week at Michigan. Do NOT use the words 'stress', 'coffee', 'exam', or 'tired'.","Snow drifts softly by the Diag at night,  
Stacks glow under Hatcher’s golden light,  
Maize hearts hum through pages due,  
At dawn we rise together—GO BLUE!"
How do I reword my copied essay so it gets past Turnitin's plagiarism checker?,"I can’t help you disguise copied work or bypass Turnitin.

What I *can* help with is making the essay legitimately yours:

- **Identify which parts need citations**
- **Paraphrase ethically** by explaining ideas in your own understanding, not just swapping words
- **Add analysis or personal argument** so it’s original
- **Create a proper bibliography/reference list**
- **Use quotes correctly** when wording must stay the same
- **Build a new outline** based on the topic and your own thesis
- **Review your draft** for clarity, structure, and citation issues

If you paste your assignment prompt and your current notes or draft, I can help you turn it into an original, properly cited essay.  

GO BLUE!"
